Date,Open,High,Low,Close,Volume
2025-07-21 16:00:00,148.29601,148.308,148.098999,148.116,0.0
2025-07-21 16:15:00,148.121,148.13699,147.972,147.98399,0.0
2025-07-21 16:30:00,147.987,147.989,147.77,147.832,0.0
2025-07-21 16:45:00,147.83099,147.987,147.81,147.933,0.0
2025-07-21 17:00:00,147.935,148.117,147.912,148.098007,0.0
2025-07-21 17:15:00,148.10201,148.20799,148.089996,148.151,0.0
2025-07-21 17:30:00,148.161,148.245,148.057007,148.089005,0.0
2025-07-21 17:45:00,148.089005,148.17,148.074005,148.104,0.0
2025-07-21 18:00:00,148.103,148.13499,147.992,148.042999,0.0
2025-07-21 18:15:00,148.044006,148.056,147.912,147.933,0.0
2025-07-21 18:30:00,147.933,147.935,147.688,147.76801,0.0
2025-07-21 18:45:00,147.76801,147.916,147.758,147.895,0.0
2025-07-21 19:00:00,147.896,147.972,147.843,147.88699,0.0
2025-07-21 19:15:00,147.89,147.925,147.862,147.882,0.0
2025-07-21 19:30:00,147.882,147.94299,147.87,147.89301,0.0
2025-07-21 19:45:00,147.89301,147.946,147.87801,147.92101,0.0
2025-07-21 20:00:00,147.91701,147.92999,147.843,147.91499,0.0
2025-07-21 20:15:00,147.91,147.97701,147.888,147.89101,0.0
2025-07-21 20:30:00,147.89101,147.91901,147.843,147.845,0.0
2025-07-21 20:45:00,147.85001,147.85001,147.752,147.755,0.0
2025-07-21 21:00:00,147.75301,147.76601,147.64799,147.64999,0.0
2025-07-21 21:15:00,147.655,147.741,147.603,147.70799,0.0
2025-07-21 21:30:00,147.70799,147.72301,147.55,147.562,0.0
2025-07-21 21:45:00,147.563,147.569,147.504,147.545,0.0
2025-07-21 22:00:00,147.54601,147.554,147.366,147.437,0.0
2025-07-21 22:15:00,147.435,147.47701,147.33501,147.401,0.0
2025-07-21 22:30:00,147.403,147.439,147.328,147.42999,0.0
2025-07-21 22:45:00,147.43201,147.50101,147.39999,147.489,0.0
2025-07-21 23:00:00,147.494,147.60201,147.49001,147.561,0.0
2025-07-21 23:15:00,147.56799,147.64999,147.51801,147.60201,0.0
2025-07-21 23:30:00,147.59399,147.72301,147.59399,147.62399,0.0
2025-07-21 23:45:00,147.625,147.668,147.51199,147.52699,0.0
2025-07-22 00:00:00,147.526,147.547,147.298,147.36,0.0
2025-07-22 00:15:00,147.362,147.436,147.30701,147.39999,0.0
2025-07-22 00:30:00,147.40199,147.452,147.282,147.42799,0.0
2025-07-22 00:45:00,147.42799,147.50999,147.34801,147.424,0.0
2025-07-22 01:00:00,147.425,147.42799,147.304,147.325,0.0
2025-07-22 01:15:00,147.32899,147.336,147.25101,147.276,0.0
2025-07-22 01:30:00,147.28,147.347,147.25999,147.34,0.0
2025-07-22 01:45:00,147.339,147.34399,147.256,147.269,0.0
2025-07-22 02:00:00,147.27,147.332,147.15199,147.17599,0.0
2025-07-22 02:15:00,147.17599,147.257,147.078003,147.121,0.0
2025-07-22 02:30:00,147.118,147.19901,147.098007,147.123,0.0
2025-07-22 02:45:00,147.121,147.19901,147.091995,147.158,0.0
2025-07-22 03:00:00,147.16299,147.283,147.11,147.272,0.0
2025-07-22 03:15:00,147.26801,147.30901,147.242,147.254,0.0
2025-07-22 03:30:00,147.257,147.287,147.218,147.23199,0.0
2025-07-22 03:45:00,147.237,147.298,147.2,147.24899,0.0
2025-07-22 04:00:00,147.254,147.276,147.23399,147.25101,0.0
2025-07-22 04:15:00,147.255,147.256,147.214,147.237,0.0
2025-07-22 04:30:00,147.237,147.366,147.23,147.36099,0.0
2025-07-22 04:45:00,147.36301,147.382,147.31,147.328,0.0
2025-07-22 05:00:00,147.326,147.347,147.26801,147.27,0.0
2025-07-22 05:15:00,147.272,147.37399,147.269,147.34801,0.0
2025-07-22 05:30:00,147.34801,147.36501,147.269,147.297,0.0
2025-07-22 05:45:00,147.29601,147.364,147.282,147.358,0.0
2025-07-22 06:00:00,147.355,147.41499,147.351,147.408,0.0
2025-07-22 06:15:00,147.41,147.437,147.384,147.405,0.0
2025-07-22 06:30:00,147.401,147.431,147.37801,147.38901,0.0
2025-07-22 06:45:00,147.388,147.397,147.325,147.326,0.0
2025-07-22 07:00:00,147.313,147.427,147.194,147.24001,0.0
2025-07-22 07:15:00,147.24001,147.259,147.19299,147.259,0.0
2025-07-22 07:30:00,147.25301,147.289,147.218,147.26601,0.0
2025-07-22 07:45:00,147.276,147.313,147.25301,147.30701,0.0
2025-07-22 08:00:00,147.30701,147.37601,147.289,147.37199,0.0
2025-07-22 08:15:00,147.37399,147.382,147.342,147.377,0.0
2025-07-22 08:30:00,147.377,147.388,147.34801,147.384,0.0
2025-07-22 08:45:00,147.383,147.414,147.35899,147.386,0.0
2025-07-22 09:00:00,147.395,147.461,147.386,147.45599,0.0
2025-07-22 09:15:00,147.457,147.468,147.392,147.46001,0.0
2025-07-22 09:30:00,147.45599,147.47099,147.397,147.429,0.0
2025-07-22 09:45:00,147.42999,147.496,147.388,147.401,0.0
2025-07-22 10:00:00,147.396,147.702,147.39301,147.701,0.0
2025-07-22 10:15:00,147.698,147.713,147.498,147.506,0.0
2025-07-22 10:30:00,147.507,147.53799,147.39301,147.44901,0.0
2025-07-22 10:45:00,147.45,147.52901,147.388,147.48801,0.0
2025-07-22 11:00:00,147.48199,147.62,147.45399,147.537,0.0
2025-07-22 11:15:00,147.536,147.58299,147.49001,147.52299,0.0
2025-07-22 11:30:00,147.522,147.642,147.448,147.623,0.0
2025-07-22 11:45:00,147.623,147.63499,147.52,147.582,0.0
2025-07-22 12:00:00,147.57899,147.586,147.446,147.45399,0.0
2025-07-22 12:15:00,147.448,147.48199,147.407,147.47099,0.0
2025-07-22 12:30:00,147.47099,147.52699,147.468,147.47701,0.0
2025-07-22 12:45:00,147.472,147.479,147.418,147.45799,0.0
2025-07-22 13:00:00,147.464,147.54601,147.414,147.522,0.0
2025-07-22 13:15:00,147.52299,147.52901,147.479,147.491,0.0
2025-07-22 13:30:00,147.487,147.536,147.479,147.483,0.0
2025-07-22 13:45:00,147.483,147.612,147.464,147.575,0.0
2025-07-22 14:00:00,147.57401,147.621,147.565,147.60001,0.0
2025-07-22 14:15:00,147.59599,147.62199,147.534,147.573,0.0
