Date,Open,High,Low,Close,Volume
2025-06-05 22:00:00,143.26801,143.687,142.771,143.36501,0.0
2025-06-05 23:00:00,143.366,143.532,142.89301,143.026001,0.0
2025-06-06 00:00:00,143.020996,143.54401,143.020996,143.455,0.0
2025-06-06 01:00:00,143.455,143.972,143.45,143.86501,0.0
2025-06-06 02:00:00,143.86099,143.97701,143.51801,143.532,0.0
2025-06-06 03:00:00,143.53,143.854,143.51401,143.67799,0.0
2025-06-06 04:00:00,143.681,143.75999,143.56799,143.629,0.0
2025-06-06 05:00:00,143.631,143.76401,143.468,143.686,0.0
2025-06-06 06:00:00,143.685,143.78101,143.479,143.494,0.0
2025-06-06 07:00:00,143.52699,143.644,143.345,143.5,0.0
2025-06-06 08:00:00,143.519,143.558,143.44299,143.51401,0.0
2025-06-06 09:00:00,143.51801,143.597,143.45399,143.554,0.0
2025-06-06 10:00:00,143.552,143.74899,143.526,143.718,0.0
2025-06-06 11:00:00,143.72701,143.78999,143.62,143.66499,0.0
2025-06-06 12:00:00,143.666,143.89999,143.642,143.839,0.0
2025-06-06 13:00:00,143.841,143.85001,143.71201,143.759,0.0
2025-06-06 14:00:00,143.758,143.881,143.73,143.83701,0.0
2025-06-06 15:00:00,143.83299,143.978,143.81,143.864,0.0
2025-06-06 16:00:00,143.86501,144.132,143.806,144.022995,0.0
2025-06-06 17:00:00,144.022003,144.13699,143.798,143.90601,0.0
2025-06-06 18:00:00,143.907,144.067993,143.87601,144.052002,0.0
2025-06-06 19:00:00,144.052994,144.19099,143.995,144.159,0.0
2025-06-06 20:00:00,144.15601,144.16,144.014999,144.087997,0.0
2025-06-06 21:00:00,144.080994,144.186,144.052002,144.15601,0.0
2025-06-06 22:00:00,144.15199,144.743,144.076004,144.618,0.0
2025-06-06 23:00:00,144.623,144.972,144.55,144.90401,0.0
2025-06-07 00:00:00,144.905,145.029007,144.61301,144.89799,0.0
2025-06-07 01:00:00,144.896,145.089005,144.75999,144.87601,0.0
2025-06-07 02:00:00,144.879,144.98199,144.80901,144.964,0.0
2025-06-07 03:00:00,144.967,144.968,144.82401,144.867,0.0
2025-06-07 04:00:00,144.862,144.907,144.80701,144.84399,0.0
2025-06-07 05:00:00,144.84801,144.84801,144.77,144.782,0.0
2025-06-07 06:00:00,144.782,144.89101,144.776,144.81599,0.0
2025-06-07 07:00:00,144.78799,144.78799,144.78799,144.78799,0.0
2025-06-09 09:00:00,144.69099,144.74699,144.59399,144.69299,0.0
2025-06-09 10:00:00,144.69,144.948,144.57401,144.93201,0.0
2025-06-09 11:00:00,144.938,144.939,144.47,144.54201,0.0
2025-06-09 12:00:00,144.541,144.571,144.345,144.496,0.0
2025-06-09 13:00:00,144.494,144.50999,144.349,144.492,0.0
2025-06-09 14:00:00,144.489,144.495,144.34599,144.377,0.0
2025-06-09 15:00:00,144.379,144.496,144.347,144.41299,0.0
2025-06-09 16:00:00,144.412,144.464,144.19501,144.209,0.0
2025-06-09 17:00:00,144.20799,144.31799,144.098007,144.14301,0.0
2025-06-09 18:00:00,144.14301,144.17599,144.031998,144.155,0.0
2025-06-09 19:00:00,144.153,144.166,143.97,144.103,0.0
2025-06-09 20:00:00,144.103,144.189,144.029007,144.172,0.0
2025-06-09 21:00:00,144.17,144.52901,144.15401,144.485,0.0
2025-06-09 22:00:00,144.492,144.692,144.42799,144.62801,0.0
2025-06-09 23:00:00,144.633,144.772,144.592,144.66299,0.0
2025-06-10 00:00:00,144.666,144.75101,144.528,144.612,0.0
2025-06-10 01:00:00,144.612,144.62199,144.34399,144.371,0.0
2025-06-10 02:00:00,144.367,144.46001,144.36,144.397,0.0
2025-06-10 03:00:00,144.397,144.474,144.38499,144.459,0.0
2025-06-10 04:00:00,144.463,144.567,144.38499,144.55701,0.0
2025-06-10 05:00:00,144.55299,144.599,144.496,144.56,0.0
2025-06-10 06:00:00,144.562,144.63499,144.522,144.53999,0.0
2025-06-10 07:00:00,144.51801,144.55099,144.487,144.52499,0.0
2025-06-10 08:00:00,144.524,144.651,144.493,144.59801,0.0
2025-06-10 09:00:00,144.593,144.653,144.496,144.561,0.0
2025-06-10 10:00:00,144.563,144.657,144.394,144.521,0.0
