Date,Open,High,Low,Close,Volume
2024-12-24 14:00:00+00:00,1.25320,1.25405,1.25310,1.25320,0
2024-12-24 18:00:00+00:00,1.25325,1.25455,1.25270,1.25325,0
2024-12-24 22:00:00+00:00,1.25340,1.25610,1.25315,1.25510,0
2024-12-26 06:00:00+00:00,1.25585,1.25585,1.25380,1.25430,0
2024-12-26 10:00:00+00:00,1.25435,1.25490,1.25380,1.25465,0
2024-12-26 14:00:00+00:00,1.25460,1.25485,1.25220,1.25300,0
2024-12-26 18:00:00+00:00,1.25310,1.25355,1.25240,1.25300,0
2024-12-26 22:00:00+00:00,1.25300,1.25320,1.25015,1.25110,0
2024-12-27 02:00:00+00:00,1.25105,1.25365,1.25095,1.25255,0
2024-12-27 06:00:00+00:00,1.25250,1.25325,1.25230,1.25280,0
2024-12-27 10:00:00+00:00,1.25285,1.25310,1.25190,1.25260,0
2024-12-27 14:00:00+00:00,1.25260,1.25325,1.25185,1.25300,0
2024-12-27 18:00:00+00:00,1.25300,1.25565,1.25055,1.25520,0
2024-12-27 22:00:00+00:00,1.25530,1.25930,1.25490,1.25770,0
2024-12-28 02:00:00+00:00,1.25770,1.25915,1.25550,1.25810,0
2024-12-28 06:00:00+00:00,1.25815,1.25820,1.25730,1.25775,0
2024-12-30 06:00:00+00:00,1.25780,1.25880,1.25640,1.25790,0
2024-12-30 10:00:00+00:00,1.25780,1.25840,1.25720,1.25800,0
2024-12-30 14:00:00+00:00,1.25800,1.25895,1.25715,1.25800,0
2024-12-30 18:00:00+00:00,1.25780,1.26075,1.25615,1.25990,0
2024-12-30 22:00:00+00:00,1.25980,1.26070,1.25065,1.25125,0
2024-12-31 02:00:00+00:00,1.25130,1.25590,1.25080,1.25440,0
2024-12-31 06:00:00+00:00,1.25420,1.25575,1.25355,1.25485,0
2024-12-31 10:00:00+00:00,1.25485,1.25605,1.25380,1.25515,0
2024-12-31 14:00:00+00:00,1.25515,1.25665,1.25420,1.25620,0
2024-12-31 18:00:00+00:00,1.25620,1.25695,1.25320,1.25400,0
2024-12-31 22:00:00+00:00,1.25395,1.25495,1.25300,1.25315,0
2025-01-02 02:00:00+00:00,1.25170,1.25210,1.25170,1.25200,0
2025-01-02 06:00:00+00:00,1.25160,1.25190,1.25080,1.25190,0
2025-01-02 10:00:00+00:00,1.25210,1.25370,1.25100,1.25370,0
2025-01-02 14:00:00+00:00,1.25380,1.25400,1.25210,1.25210,0
2025-01-02 18:00:00+00:00,1.25210,1.25240,1.24350,1.24540,0
2025-01-02 22:00:00+00:00,1.24540,1.24580,1.23700,1.23750,0
2025-01-03 02:00:00+00:00,1.23760,1.23800,1.23530,1.23690,0
2025-01-03 06:00:00+00:00,1.23690,1.23860,1.23690,1.23800,0
2025-01-03 10:00:00+00:00,1.23790,1.23970,1.23780,1.23950,0
2025-01-03 14:00:00+00:00,1.23940,1.24070,1.23860,1.24000,0
2025-01-03 18:00:00+00:00,1.23990,1.24160,1.23860,1.24070,0
2025-01-03 22:00:00+00:00,1.24070,1.24170,1.23880,1.24050,0
2025-01-04 02:00:00+00:00,1.24040,1.24340,1.24030,1.24280,0
2025-01-04 06:00:00+00:00,1.24280,1.24350,1.24200,1.24230,0
2025-01-06 06:00:00+00:00,1.24220,1.24340,1.24140,1.24240,0
2025-01-06 10:00:00+00:00,1.24250,1.24430,1.24180,1.24360,0
2025-01-06 14:00:00+00:00,1.24350,1.24560,1.24320,1.24520,0
2025-01-06 18:00:00+00:00,1.24520,1.25480,1.24520,1.25440,0
2025-01-06 22:00:00+00:00,1.25450,1.25510,1.24690,1.25080,0
2025-01-07 02:00:00+00:00,1.25080,1.25350,1.25020,1.25130,0
2025-01-07 06:00:00+00:00,1.25120,1.25240,1.25100,1.25100,0
2025-01-07 10:00:00+00:00,1.25100,1.25330,1.25040,1.25330,0
2025-01-07 14:00:00+00:00,1.25340,1.25630,1.25290,1.25520,0
2025-01-07 18:00:00+00:00,1.25520,1.25760,1.25320,1.25400,0
2025-01-07 22:00:00+00:00,1.25400,1.25480,1.24800,1.24970,0
2025-01-08 02:00:00+00:00,1.24980,1.25070,1.24830,1.24910,0
2025-01-08 06:00:00+00:00,1.24900,1.24900,1.24730,1.24760,0
2025-01-08 10:00:00+00:00,1.24770,1.24890,1.24750,1.24790,0
2025-01-08 14:00:00+00:00,1.24790,1.24940,1.24640,1.24680,0
2025-01-08 18:00:00+00:00,1.24680,1.24710,1.23250,1.23730,0
2025-01-08 22:00:00+00:00,1.23740,1.23740,1.23210,1.23440,0
2025-01-09 02:00:00+00:00,1.23430,1.23780,1.23340,1.23570,0
2025-01-09 06:00:00+00:00,1.23570,1.23670,1.23510,1.23590,0
2025-01-09 10:00:00+00:00,1.23590,1.23650,1.23440,1.23450,0
2025-01-09 14:00:00+00:00,1.23440,1.23450,1.22520,1.22590,0
2025-01-09 18:00:00+00:00,1.22600,1.23040,1.22390,1.22890,0
2025-01-09 22:00:00+00:00,1.22900,1.23230,1.22710,1.23030,0
2025-01-10 02:00:00+00:00,1.23040,1.23140,1.22870,1.23090,0
2025-01-10 06:00:00+00:00,1.23090,1.23160,1.22980,1.22980,0
2025-01-10 10:00:00+00:00,1.23000,1.23090,1.22940,1.23010,0
2025-01-10 14:00:00+00:00,1.23000,1.23040,1.22670,1.22910,0
2025-01-10 18:00:00+00:00,1.22910,1.23090,1.22840,1.23030,0
2025-01-10 22:00:00+00:00,1.23040,1.23220,1.21930,1.22300,0
2025-01-11 02:00:00+00:00,1.22300,1.22310,1.21950,1.22100,0
2025-01-11 06:00:00+00:00,1.22110,1.22150,1.22020,1.22080,0
2025-01-13 06:00:00+00:00,1.22080,1.22100,1.22000,1.22050,0
2025-01-13 10:00:00+00:00,1.22030,1.22080,1.21380,1.21430,0
2025-01-13 14:00:00+00:00,1.21440,1.21610,1.21230,1.21380,0
2025-01-13 18:00:00+00:00,1.21380,1.21720,1.21020,1.21100,0
2025-01-13 22:00:00+00:00,1.21090,1.21600,1.21000,1.21510,0
2025-01-14 02:00:00+00:00,1.21520,1.21840,1.21420,1.21670,0
2025-01-14 06:00:00+00:00,1.21670,1.22500,1.21660,1.22310,0
2025-01-14 10:00:00+00:00,1.22310,1.22320,1.21920,1.22090,0
2025-01-14 14:00:00+00:00,1.22080,1.22290,1.21970,1.22110,0
2025-01-14 18:00:00+00:00,1.22090,1.22470,1.21710,1.21770,0
2025-01-14 22:00:00+00:00,1.21760,1.22030,1.21400,1.22010,0
2025-01-15 02:00:00+00:00,1.21990,1.22130,1.21690,1.21990,0
2025-01-15 06:00:00+00:00,1.22000,1.22170,1.21950,1.22110,0
2025-01-15 10:00:00+00:00,1.22110,1.22110,1.21930,1.22030,0
2025-01-15 14:00:00+00:00,1.22030,1.22410,1.21610,1.22340,0
2025-01-15 18:00:00+00:00,1.22350,1.22400,1.22010,1.22250,0
2025-01-15 22:00:00+00:00,1.22240,1.23060,1.22010,1.22580,0
2025-01-16 02:00:00+00:00,1.22580,1.22600,1.21940,1.22310,0
2025-01-16 06:00:00+00:00,1.22310,1.22450,1.22290,1.22430,0
2025-01-16 10:00:00+00:00,1.22430,1.22480,1.22200,1.22260,0
2025-01-16 14:00:00+00:00,1.22260,1.22320,1.22010,1.22190,0
2025-01-16 18:00:00+00:00,1.22200,1.22240,1.21900,1.22100,0
2025-01-16 22:00:00+00:00,1.22100,1.22390,1.21760,1.22350,0
2025-01-17 02:00:00+00:00,1.22340,1.22600,1.22180,1.22360,0
2025-01-17 06:00:00+00:00,1.22350,1.22450,1.22280,1.22350,0
2025-01-17 10:00:00+00:00,1.22350,1.22450,1.22290,1.22340,0
2025-01-17 14:00:00+00:00,1.22330,1.22350,1.21610,1.21750,0
2025-01-17 18:00:00+00:00,1.21750,1.22170,1.21750,1.21970,0
2025-01-17 22:00:00+00:00,1.21960,1.22280,1.21610,1.21980,0
2025-01-18 02:00:00+00:00,1.21970,1.21990,1.21650,1.21680,0
2025-01-18 06:00:00+00:00,1.21680,1.21750,1.21650,1.21680,0
2025-01-20 06:00:00+00:00,1.21780,1.21800,1.21610,1.21750,0
2025-01-20 10:00:00+00:00,1.21760,1.22050,1.21750,1.22050,0
2025-01-20 14:00:00+00:00,1.22050,1.22220,1.22010,1.22160,0
2025-01-20 18:00:00+00:00,1.22160,1.22200,1.21660,1.22060,0
2025-01-20 22:00:00+00:00,1.22070,1.23270,1.21840,1.22930,0
2025-01-21 02:00:00+00:00,1.22920,1.23390,1.22560,1.23360,0
2025-01-21 06:00:00+00:00,1.23360,1.23440,1.23190,1.23320,0
2025-01-21 10:00:00+00:00,1.23320,1.23460,1.22490,1.22950,0
2025-01-21 14:00:00+00:00,1.22960,1.23090,1.22550,1.22680,0
2025-01-21 18:00:00+00:00,1.22670,1.22700,1.22300,1.22360,0
2025-01-21 22:00:00+00:00,1.22370,1.23130,1.22330,1.23000,0
2025-01-22 02:00:00+00:00,1.23000,1.23400,1.22970,1.23270,0
2025-01-22 06:00:00+00:00,1.23270,1.23610,1.23230,1.23380,0
2025-01-22 10:00:00+00:00,1.23380,1.23540,1.23290,1.23320,0
2025-01-22 14:00:00+00:00,1.23320,1.23490,1.23120,1.23190,0
2025-01-22 18:00:00+00:00,1.23190,1.23770,1.23170,1.23570,0
2025-01-22 22:00:00+00:00,1.23560,1.23690,1.23130,1.23190,0
2025-01-23 02:00:00+00:00,1.23180,1.23320,1.23080,1.23260,0
2025-01-23 06:00:00+00:00,1.23250,1.23300,1.23080,1.23140,0
2025-01-23 10:00:00+00:00,1.23140,1.23240,1.23020,1.23150,0
