Date,Open,High,Low,Close,adjusted_close,Volume
2002-05-05 22:00:00+00:00,0.9154,0.9154,0.9154,0.9154,0.9154,1
2002-05-06 22:00:00+00:00,0.9044,0.9044,0.9044,0.9044,0.9044,1
2002-05-07 22:00:00+00:00,0.9094,0.9094,0.9094,0.9094,0.9094,1
2002-05-08 22:00:00+00:00,0.914,0.914,0.914,0.914,0.914,1
2002-05-09 22:00:00+00:00,0.9141,0.9141,0.9141,0.9141,0.9141,1
2002-05-11 22:00:00+00:00,0.9116,0.9116,0.9116,0.9116,0.9116,1
2002-05-12 22:00:00+00:00,0.9028,0.9028,0.9028,0.9028,0.9028,1
2002-05-13 22:00:00+00:00,0.9126,0.9126,0.9126,0.9126,0.9126,1
2002-05-14 22:00:00+00:00,0.912,0.912,0.912,0.912,0.912,1
2002-05-15 22:00:00+00:00,0.9209,0.9209,0.9209,0.9209,0.9209,1
2002-05-17 22:00:00+00:00,0.9201,0.9201,0.9201,0.9201,0.9201,1
2002-05-18 22:00:00+00:00,0.921,0.921,0.921,0.921,0.921,1
2002-05-19 22:00:00+00:00,0.9199,0.9199,0.9199,0.9199,0.9199,1
2002-05-20 22:00:00+00:00,0.9258,0.9258,0.9258,0.9258,0.9258,1
2002-05-21 22:00:00+00:00,0.9215,0.9215,0.9215,0.9215,0.9215,1
2002-05-22 22:00:00+00:00,0.921,0.921,0.921,0.921,0.921,1
2002-05-23 22:00:00+00:00,0.9211,0.9211,0.9211,0.9211,0.9211,1
2002-05-25 22:00:00+00:00,0.9209,0.9209,0.9209,0.9209,0.9209,1
2002-05-26 22:00:00+00:00,0.9288,0.9288,0.9288,0.9288,0.9288,1
2002-05-27 22:00:00+00:00,0.9355,0.9355,0.9355,0.9355,0.9355,1
2002-05-28 22:00:00+00:00,0.9371,0.9371,0.9371,0.9371,0.9371,1
2002-05-29 22:00:00+00:00,0.9339,0.9339,0.9339,0.9339,0.9339,1
2002-05-31 22:00:00+00:00,0.9329,0.9329,0.9329,0.9329,0.9329,1
2002-06-01 22:00:00+00:00,0.9411,0.9411,0.9411,0.9411,0.9411,1
2002-06-02 22:00:00+00:00,0.9394,0.9394,0.9394,0.9394,0.9394,1
2002-06-03 22:00:00+00:00,0.9394,0.9394,0.9394,0.9394,0.9394,1
2002-06-04 22:00:00+00:00,0.9477,0.9477,0.9477,0.9477,0.9477,1
2002-06-05 22:00:00+00:00,0.944,0.944,0.944,0.944,0.944,1
2002-06-07 22:00:00+00:00,0.9432,0.9432,0.9432,0.9432,0.9432,1
2002-06-08 22:00:00+00:00,0.9446,0.9446,0.9446,0.9446,0.9446,1
2002-06-09 22:00:00+00:00,0.9483,0.9483,0.9483,0.9483,0.9483,1
2002-06-10 22:00:00+00:00,0.944,0.944,0.944,0.944,0.944,1
2002-06-11 22:00:00+00:00,0.9435,0.9435,0.9435,0.9435,0.9435,1
2002-06-12 22:00:00+00:00,0.9456,0.9456,0.9456,0.9456,0.9456,1
