Date,Open,High,Low,Close,Volume
2025-02-21 00:00:00,176.0,176.47,173.0,173.28,329030.9
2025-02-21 04:00:00,173.27,176.8,173.27,175.86,449693.289
2025-02-21 08:00:00,175.86,180.28,175.83,177.21,679578.443
2025-02-21 12:00:00,177.2,180.52,170.56,173.17,1089040.987
2025-02-21 16:00:00,173.16,175.66,168.18,168.42,1109214.476
2025-02-21 20:00:00,168.42,169.97,167.15,168.94,447124.762
2025-02-22 00:00:00,168.94,172.76,168.07,170.35,496900.538
2025-02-22 04:00:00,170.35,173.14,170.09,171.74,293626.835
2025-02-22 08:00:00,171.74,174.14,171.36,173.56,363880.981
2025-02-22 12:00:00,173.56,174.6,172.66,174.23,280181.574
2025-02-22 16:00:00,174.23,174.68,172.3,172.64,291277.226
2025-02-22 20:00:00,172.63,173.62,171.89,172.07,160946.303
2025-02-23 00:00:00,172.07,172.3,170.19,170.61,250405.798
2025-02-23 04:00:00,170.61,173.07,169.95,172.85,209356.917
2025-02-23 08:00:00,172.85,172.91,169.36,169.59,179421.505
2025-02-23 12:00:00,169.6,169.92,166.6,166.76,417303.443
2025-02-23 16:00:00,166.76,168.72,166.75,167.71,244872.649
2025-02-23 20:00:00,167.71,168.86,166.42,167.94,186950.447
2025-02-24 00:00:00,167.94,169.69,160.56,161.01,792175.34
2025-02-24 04:00:00,161.02,161.75,156.88,160.99,1060356.882
2025-02-24 08:00:00,160.99,161.1,155.38,159.28,888129.314
2025-02-24 12:00:00,159.27,160.41,150.65,152.66,1587066.29
2025-02-24 16:00:00,152.67,155.15,147.86,150.12,1176702.704
2025-02-24 20:00:00,150.13,152.68,138.0,141.81,2492807.385
2025-02-25 00:00:00,141.81,144.45,138.17,138.95,2532890.988
2025-02-25 04:00:00,138.95,142.08,133.0,136.25,3145641.456
2025-02-25 08:00:00,136.26,141.36,131.91,141.28,2158755.072
2025-02-25 12:00:00,141.27,141.83,134.53,138.89,1761698.336
2025-02-25 16:00:00,138.89,145.57,137.96,145.43,1393019.038
2025-02-25 20:00:00,145.42,147.09,143.26,144.33,755005.255
2025-02-26 00:00:00,144.33,145.19,141.63,143.32,600468.922
2025-02-26 04:00:00,143.33,144.7,139.63,140.19,513975.694
2025-02-26 08:00:00,140.19,142.21,138.01,138.14,564388.728
2025-02-26 12:00:00,138.13,140.47,134.61,139.27,1175474.246
2025-02-26 16:00:00,139.27,139.79,130.65,131.93,1496871.335
2025-02-26 20:00:00,131.94,137.87,130.89,135.32,1017222.134
2025-02-27 00:00:00,135.33,139.05,134.96,138.57,680370.163
2025-02-27 04:00:00,138.57,142.9,137.05,140.99,687189.917
2025-02-27 08:00:00,141.0,142.46,139.25,140.48,657310.865
2025-02-27 12:00:00,140.48,141.26,136.28,139.63,976643.516
2025-02-27 16:00:00,139.62,140.15,135.63,136.29,547309.735
2025-02-27 20:00:00,136.28,138.21,134.71,137.68,774166.263
2025-02-28 00:00:00,137.68,137.98,127.17,127.62,2182588.471
2025-02-28 04:00:00,127.62,129.6,125.55,128.55,1674284.124
2025-02-28 08:00:00,128.54,134.72,127.9,133.52,1422048.273
2025-02-28 12:00:00,133.52,147.86,133.0,145.68,2970450.54
2025-02-28 16:00:00,145.67,147.25,143.74,146.36,1135023.251
2025-02-28 20:00:00,146.35,148.72,144.62,148.18,655565.954
2025-03-01 00:00:00,148.18,151.25,145.54,145.67,1276966.738
2025-03-01 04:00:00,145.68,147.16,142.2,142.49,709308.762
2025-03-01 08:00:00,142.49,144.29,139.53,140.35,700454.6
2025-03-01 12:00:00,140.35,141.72,138.57,140.39,550358.172
2025-03-01 16:00:00,140.39,141.51,138.7,140.53,453811.068
2025-03-01 20:00:00,140.53,143.82,139.9,143.66,460956.418
2025-03-02 00:00:00,143.66,146.01,142.03,143.85,564432.115
2025-03-02 04:00:00,143.86,145.17,142.23,143.79,308611.126
2025-03-02 08:00:00,143.78,144.88,142.47,143.49,353233.66
2025-03-02 12:00:00,143.5,163.39,140.04,157.46,3502102.972
2025-03-02 16:00:00,157.47,179.85,157.47,172.18,7038818.526
2025-03-02 20:00:00,172.17,179.32,171.66,178.71,1707441.447
2025-03-03 00:00:00,178.72,179.47,168.11,169.88,1580531.725
2025-03-03 04:00:00,169.89,170.57,159.8,162.26,1458640.834
2025-03-03 08:00:00,162.27,163.37,156.83,161.09,1078421.609
2025-03-03 12:00:00,161.08,167.07,154.07,157.78,2546433.118
2025-03-03 16:00:00,157.78,159.61,140.05,141.87,2816719.183
2025-03-03 20:00:00,141.87,144.97,139.21,142.16,1615455.571
2025-03-04 00:00:00,142.16,145.08,132.46,136.38,2232567.084
2025-03-04 04:00:00,136.39,139.58,135.64,136.02,872230.58
2025-03-04 08:00:00,136.02,138.58,134.62,136.98,982640.059
2025-03-04 12:00:00,136.97,143.39,132.64,138.59,3078325.736
2025-03-04 16:00:00,138.59,144.77,130.66,143.16,2027388.825
2025-03-04 20:00:00,143.15,147.0,141.55,144.79,1196446.05
2025-03-05 00:00:00,144.8,145.55,141.76,141.82,692820.649
2025-03-05 04:00:00,141.82,144.1,140.82,142.88,620986.515
2025-03-05 08:00:00,142.89,149.73,142.74,147.13,1044394.142
2025-03-05 12:00:00,147.13,149.23,140.32,141.66,1339096.426
2025-03-05 16:00:00,141.66,146.47,140.18,144.77,817465.66
2025-03-05 20:00:00,144.78,146.84,143.91,146.28,380757.193
2025-03-06 00:00:00,146.27,150.68,144.54,148.73,709517.914
2025-03-06 04:00:00,148.73,150.66,147.62,148.62,566337.926
2025-03-06 08:00:00,148.63,152.9,148.34,151.71,735590.113
2025-03-06 12:00:00,151.71,151.92,145.06,149.03,1205506.065
2025-03-06 16:00:00,149.04,149.43,142.44,143.58,738490.55
2025-03-06 20:00:00,143.59,145.92,143.19,143.31,496437.093
2025-03-07 00:00:00,143.3,145.57,135.04,140.79,1743676.516
